City,Wind,Temperature,Humidity,Cloudiness,Latitude
yarensk,4.38,48.23,83,0,62.17
tokmak,13.0,73.07,38,0,47.26
paragominas,5.5,78.92,85,56,-3.0
sur,1.14,82.57,94,44,22.57
kassala,4.27,70.73,88,80,15.45
osorheiu,6.93,73.72,88,8,47.03
atkarsk,8.52,60.83,68,0,51.88
ijsselstein,3.36,58.98,77,0,52.02
oskemen,4.47,53.6,93,20,49.96
calafat,2.71,69.97,85,0,43.99
san lawrenz,6.93,78.8,83,20,36.06
saldanha,11.32,68.03,57,0,41.42
capitan bado,3.6,67.45,98,64,-23.27
sita road,2.15,85.54,81,64,27.03
gampaha,8.05,75.2,94,75,7.09
hit,10.65,87.11,28,0,33.64
abatskoye,2.82,61.6,90,20,56.29
karla,3.36,68.0,72,0,59.37
mehndawal,7.74,79.28,90,24,26.98
marsa matruh,6.93,80.6,74,0,31.35
altay,3.6,44.32,81,0,47.83
amalapuram,11.65,76.27,94,44,16.58
bandarbeyla,36.6,78.61,89,0,9.49
zaozerne,7.96,69.07,63,0,51.37
yuzhnyy,6.4,56.42,73,0,53.54
igarka,17.58,53.63,75,76,67.47
anloga,12.75,77.0,88,20,5.79
makinsk,4.38,65.74,78,20,52.63
ouango,2.26,74.29,91,12,4.31
rafaela,22.95,55.88,54,0,-31.25
storsteinnes,1.81,54.34,87,0,69.24
lerwick,11.41,52.7,87,32,60.15
syracuse,8.05,78.75,74,75,43.05
santa ines,2.82,56.33,63,64,-0.82
noyabrsk,5.17,56.2,95,48,63.2
san carlos,2.71,78.02,95,36,9.66
acari,12.1,79.42,48,0,-6.44
san clemente,9.17,92.26,51,1,33.43
sidi ali,2.04,78.52,55,64,36.1
grakhovo,20.13,59.0,93,90,56.05
filingue,3.38,79.69,79,64,14.35
zabol,21.92,87.8,22,0,31.03
faya,3.6,68.88,77,5,18.39
damara,2.24,77.0,88,40,4.96
sabang,11.32,80.05,93,80,13.72
aksu,6.71,60.8,77,0,52.04
aras,1.36,52.28,85,32,14.28
pimenta bueno,3.15,91.3,38,80,-11.68
conchas,1.92,70.19,71,24,-23.02
karlshamn,2.24,72.57,88,80,56.17
abha,1.36,68.86,77,5,18.22
ludvika,13.87,66.2,93,76,60.15
chisinau,6.93,69.8,56,0,47.01
sotnikovskoye,3.15,81.26,55,100,45.0
amudat,2.93,58.67,87,0,1.95
roald,14.99,59.61,87,75,62.58
birao,3.15,67.9,98,8,10.3
sechura,12.77,72.44,79,0,-5.56
brae,11.41,52.83,87,48,60.4
kropachevo,2.26,59.62,94,44,55.01
dolores,11.32,53.77,85,76,-33.53
esil,2.93,66.64,78,8,51.96
san juan,3.15,55.66,31,0,-31.54
vagay,5.5,61.24,94,48,57.94
itapirapua,1.59,85.58,49,68,-15.82
sarwar,3.6,73.97,98,44,26.06
damaturu,4.94,74.29,90,92,11.75
aksarayskiy,8.95,82.4,39,40,46.79
moussoro,8.3,75.68,85,8,13.64
avrameni,4.7,64.4,77,0,48.02
rabak,8.19,72.94,93,76,13.18
almaznyy,11.32,68.84,51,0,48.03
mehran,4.7,77.0,25,0,33.12
coihaique,3.36,48.2,57,0,-45.58
huarmey,4.16,69.83,62,20,-10.07
colquechaca,2.15,47.74,64,0,-18.7
szalkszentmarton,4.7,74.23,73,0,46.98
dhidhdhoo,19.6,84.41,94,68,6.88
banda aceh,5.39,75.14,96,44,5.56
umm lajj,6.29,80.59,100,0,25.02
bongandanga,4.38,75.59,92,24,1.51
port victoria,13.56,53.59,91,0,-34.5
birjand,9.17,68.0,30,0,32.86
raudeberg,18.34,59.0,87,40,61.99
batouri,4.72,68.57,96,92,4.44
awjilah,7.96,97.19,21,76,29.14
pathardi,11.32,72.98,87,88,19.17
lomza,10.87,69.52,61,0,53.18
waddan,7.74,92.33,25,20,29.16
abonnema,4.72,75.2,94,75,4.71
bijar,4.38,75.77,33,56,35.87
nurota,10.42,80.6,24,0,40.56
sao geraldo do araguaia,2.37,84.23,75,0,-6.4
paidha,2.93,63.4,89,48,2.42
sundargarh,6.4,74.47,99,92,22.12
asbe teferi,2.48,55.75,91,100,9.08
mao,16.11,91.36,52,20,19.55
hangu,2.37,78.8,78,20,33.53
orje,5.82,66.2,93,40,59.48
sayat,9.17,84.2,32,0,38.78
isilkul,6.06,64.07,91,0,54.9
aracaju,9.17,78.8,74,40,-10.92
turukhansk,13.67,52.91,73,68,65.8
peceneaga,0.92,69.8,77,12,45.01
amethi,5.82,82.4,88,20,26.76
druzhba,8.75,68.26,63,0,49.36
susangerd,9.17,98.6,19,0,31.56
manicore,4.7,91.4,55,20,-5.81
khartoum,11.41,86.0,55,0,15.59
suruc,13.87,80.6,39,0,36.98
port blair,13.0,78.38,100,88,11.67
okitipupa,3.71,75.91,86,80,6.5
balkanabat,5.17,84.77,23,12,39.51
shatsk,7.96,69.07,63,0,51.49
kayerkan,14.56,51.97,79,44,69.35
wladyslawowo,9.17,75.2,53,0,54.79
mecca,2.93,81.04,54,0,21.43
alghero,2.24,77.0,88,0,40.56
edd,7.4,87.34,47,56,13.93
benghazi,23.85,83.33,90,0,32.12
goure,6.29,82.39,62,68,13.98
parichhatgarh,4.16,79.15,91,48,28.98
ratnagiri,15.01,76.67,100,92,16.98
altamira,3.94,87.8,66,20,-3.2
merke,2.15,48.37,88,0,42.87
berlevag,10.09,47.74,96,0,70.86
kargil,0.92,32.39,98,80,34.56
keuruu,8.05,65.28,59,0,62.26
bumba,3.83,71.41,97,44,2.18
villa carlos paz,18.34,60.8,14,0,-31.42
jati,9.64,80.14,78,68,24.35
gashua,1.59,78.16,85,92,12.87
kamyaran,9.17,78.8,66,0,34.8
garowe,17.47,84.46,39,0,8.41
nizhniy odes,4.72,49.13,82,44,63.64
novoseleznevo,3.15,63.85,96,80,55.68
ganganagar,10.65,72.62,94,92,16.78
mangan,1.36,45.04,93,32,27.5
sychevka,2.37,54.94,85,12,55.83
bayan,3.04,51.38,88,32,47.25
bahir dar,3.15,56.06,95,80,11.59
balvi,4.94,61.6,83,0,57.13
trincomalee,17.69,79.19,77,88,8.58
jumla,2.82,37.43,92,48,29.28
zangakatun,5.82,78.8,44,0,39.82
warri,7.52,75.19,90,48,5.52
jatai,2.93,77.26,94,0,28.97
kanniyakumari,15.68,77.8,100,92,8.08
kiruna,9.17,64.4,72,76,67.86
fort-shevchenko,8.3,76.67,90,48,44.51
inta,4.61,46.97,94,48,66.04
bellary,13.78,72.04,86,76,15.15
